,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
58,58,58,174,Graph with 7 nodes and 5 edges,Graph with 7 nodes and 6 edges,1.0,"(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])","(5.0, [(0, 6), (1, 2), (2, 4), (3, 3), (4, 0), (5, 1), (6, 5)])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])","(inf, [])","(inf, [])","(inf, [])","(5.0, [(0, 6), (1, 3), (2, 1), (3, 0), (4, 4), (5, 2), (6, 5)])","(3.0, [(0, 1), (1, 6), (2, 5), (3, 0), (4, 3), (5, 2), (6, 4)])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])","(5.0, [(0, 0), (1, 4), (2, 1), (3, 2), (4, 6), (5, 5), (6, 3)])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])","(9.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(9.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 5), (5, 3), (6, 6)])","(9.0, [(0, 3), (1, 1), (2, 2), (3, 0), (4, 5), (5, 4), (6, 6)])","(1.0, [(0, 5), (1, 2), (2, 1), (3, 3), (4, 6), (5, 4), (6, 0)])","(3.0, [(0, 1), (1, 6), (2, 0), (3, 5), (4, 3), (5, 4), (6, 2)])","(1.0, [(0, 6), (1, 1), (2, 2), (3, 3), (4, 5), (5, 4), (6, 0)])","(inf, [])","(9.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 3), (5, 6), (6, 5)])",7
59,59,59,177,Graph with 7 nodes and 5 edges,Graph with 7 nodes and 12 edges,7.0,"(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(inf, [])","(inf, [])","(inf, [])","(9.0, [(0, 0), (1, 1), (2, 3), (3, 5), (4, 6), (5, 4), (6, 2)])","(7.0, [(0, 1), (1, 6), (2, 3), (3, 4), (4, 0), (5, 5), (6, 2)])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(7.0, [(0, 0), (1, 3), (2, 5), (3, 4), (4, 2), (5, 1), (6, 6)])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(15.0, [(0, 0), (1, 6), (2, 4), (3, 1), (4, 5), (5, 3), (6, 2)])","(9.0, [(0, 3), (1, 0), (2, 1), (3, 5), (4, 2), (5, 6), (6, 4)])","(7.0, [(0, 1), (1, 6), (2, 4), (3, 5), (4, 2), (5, 3), (6, 0)])","(7.0, [(0, 0), (1, 3), (2, 2), (3, 5), (4, 4), (5, 1), (6, 6)])","(7.0, [(0, 5), (1, 4), (2, 2), (3, 1), (4, 6), (5, 3), (6, 0)])","(inf, [])","(11.0, [(0, 3), (1, 4), (2, 5), (3, 0), (4, 1), (5, 6), (6, 2)])",7
60,60,60,180,Graph with 7 nodes and 5 edges,Graph with 7 nodes and 15 edges,10.0,"(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(12.0, [(0, 2), (1, 1), (2, 6), (3, 0), (4, 5), (5, 4), (6, 3)])","(10.0, [(0, 3), (1, 2), (2, 1), (3, 4), (4, 0), (5, 6), (6, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 6), (2, 1), (3, 3), (4, 2), (5, 5), (6, 4)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(14.0, [(0, 6), (1, 4), (2, 3), (3, 2), (4, 1), (5, 5), (6, 0)])","(10.0, [(0, 1), (1, 2), (2, 4), (3, 0), (4, 6), (5, 3), (6, 5)])","(10.0, [(0, 1), (1, 6), (2, 0), (3, 5), (4, 4), (5, 2), (6, 3)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])",7
61,61,61,183,Graph with 7 nodes and 6 edges,Graph with 7 nodes and 5 edges,1.0,"(9.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 6), (6, 5)])","(9.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 6), (6, 5)])","(5.0, [(0, 4), (1, 5), (2, 1), (3, 3), (4, 2), (5, 6), (6, 0)])","(9.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 6), (6, 5)])","(inf, [])","(inf, [])","(inf, [])","(5.0, [(0, 3), (1, 2), (2, 5), (3, 0), (4, 4), (5, 6), (6, 1)])","(5.0, [(0, 1), (1, 6), (2, 2), (3, 4), (4, 0), (5, 3), (6, 5)])","(5.0, [(0, 3), (1, 0), (2, 5), (3, 4), (4, 2), (5, 6), (6, 1)])","(1.0, [(0, 6), (1, 1), (2, 2), (3, 3), (4, 5), (5, 4), (6, 0)])","(9.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 6), (6, 5)])","(9.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(9.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(7.0, [(0, 2), (1, 1), (2, 3), (3, 4), (4, 6), (5, 5), (6, 0)])","(7.0, [(0, 3), (1, 5), (2, 2), (3, 1), (4, 0), (5, 4), (6, 6)])","(5.0, [(0, 2), (1, 3), (2, 6), (3, 0), (4, 4), (5, 5), (6, 1)])","(1.0, [(0, 1), (1, 5), (2, 2), (3, 3), (4, 0), (5, 4), (6, 6)])","(1.0, [(0, 6), (1, 2), (2, 0), (3, 3), (4, 5), (5, 1), (6, 4)])","(inf, [])","(9.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 6), (6, 5)])",7
62,62,62,186,Graph with 7 nodes and 6 edges,Graph with 7 nodes and 6 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(6.0, [(0, 6), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5), (6, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(6.0, [(0, 6), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5), (6, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 1), (1, 0), (2, 6), (3, 2), (4, 5), (5, 4), (6, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(4.0, [(0, 3), (1, 4), (2, 1), (3, 5), (4, 6), (5, 2), (6, 0)])","(4.0, [(0, 2), (1, 0), (2, 4), (3, 6), (4, 5), (5, 1), (6, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])",7
63,63,63,189,Graph with 7 nodes and 6 edges,Graph with 7 nodes and 12 edges,6.0,"(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])","(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])","(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])","(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])","(inf, [])","(inf, [])","(inf, [])","(8.0, [(0, 5), (1, 0), (2, 1), (3, 2), (4, 3), (5, 6), (6, 4)])","(8.0, [(0, 1), (1, 3), (2, 5), (3, 0), (4, 6), (5, 2), (6, 4)])","(10.0, [(0, 3), (1, 1), (2, 2), (3, 0), (4, 4), (5, 5), (6, 6)])","(6.0, [(0, 0), (1, 2), (2, 1), (3, 4), (4, 3), (5, 6), (6, 5)])","(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(14.0, [(0, 1), (1, 2), (2, 4), (3, 6), (4, 5), (5, 0), (6, 3)])","(26.0, [(0, 18446744073709551614), (1, 5), (2, 2), (3, 4), (4, 6), (5, 1), (6, 3), (18446744073709551614, 0)])","(8.0, [(0, 4), (1, 5), (2, 0), (3, 6), (4, 3), (5, 1), (6, 2)])","(6.0, [(0, 6), (1, 2), (2, 3), (3, 5), (4, 1), (5, 0), (6, 4)])","(6.0, [(0, 6), (1, 3), (2, 2), (3, 4), (4, 1), (5, 5), (6, 0)])","(inf, [])","(10.0, [(0, 1), (1, 3), (2, 6), (3, 0), (4, 5), (5, 2), (6, 4)])",7
64,64,64,192,Graph with 7 nodes and 6 edges,Graph with 7 nodes and 15 edges,9.0,"(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(9.0, [(0, 0), (1, 2), (2, 3), (3, 5), (4, 1), (5, 6), (6, 4)])","(9.0, [(0, 5), (1, 2), (2, 0), (3, 3), (4, 1), (5, 6), (6, 4)])","(13.0, [(0, 0), (1, 5), (2, 6), (3, 1), (4, 4), (5, 2), (6, 3)])","(9.0, [(0, 4), (1, 0), (2, 1), (3, 3), (4, 2), (5, 6), (6, 5)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(11.0, [(0, 2), (1, 1), (2, 3), (3, 0), (4, 4), (5, 5), (6, 6)])","(11.0, [(0, 0), (1, 2), (2, 4), (3, 5), (4, 6), (5, 1), (6, 3)])","(9.0, [(0, 5), (1, 3), (2, 1), (3, 4), (4, 0), (5, 2), (6, 6)])","(9.0, [(0, 4), (1, 1), (2, 5), (3, 3), (4, 0), (5, 6), (6, 2)])","(9.0, [(0, 5), (1, 0), (2, 4), (3, 3), (4, 1), (5, 2), (6, 6)])","(inf, [])","(13.0, [(0, 0), (1, 5), (2, 6), (3, 1), (4, 4), (5, 2), (6, 3)])",7
65,65,65,195,Graph with 7 nodes and 12 edges,Graph with 7 nodes and 5 edges,7.0,"(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(inf, [])","(inf, [])","(inf, [])","(9.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 5), (5, 6), (6, 4)])","(7.0, [(0, 6), (1, 2), (2, 3), (3, 5), (4, 0), (5, 1), (6, 4)])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(9.0, [(0, 3), (1, 4), (2, 0), (3, 1), (4, 5), (5, 6), (6, 2)])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(29.0, [(0, 0), (1, 18446744073709551614), (2, 1), (3, 4), (4, 18446744073709551614), (5, 3), (6, 6), (18446744073709551614, 2), (18446744073709551614, 5)])","(11.0, [(0, 1), (1, 4), (2, 6), (3, 0), (4, 3), (5, 2), (6, 5)])","(7.0, [(0, 6), (1, 0), (2, 3), (3, 5), (4, 2), (5, 4), (6, 1)])","(7.0, [(0, 4), (1, 0), (2, 6), (3, 2), (4, 3), (5, 5), (6, 1)])","(7.0, [(0, 6), (1, 2), (2, 1), (3, 5), (4, 0), (5, 3), (6, 4)])","(inf, [])","(11.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])",7
66,66,66,198,Graph with 7 nodes and 12 edges,Graph with 7 nodes and 6 edges,6.0,"(12.0, [(0, 3), (1, 0), (2, 2), (3, 1), (4, 4), (5, 5), (6, 6)])","(12.0, [(0, 3), (1, 0), (2, 2), (3, 1), (4, 4), (5, 5), (6, 6)])","(8.0, [(0, 5), (1, 2), (2, 3), (3, 1), (4, 4), (5, 0), (6, 6)])","(12.0, [(0, 3), (1, 0), (2, 2), (3, 1), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(12.0, [(0, 1), (1, 4), (2, 3), (3, 2), (4, 0), (5, 5), (6, 6)])","(6.0, [(0, 0), (1, 2), (2, 3), (3, 4), (4, 1), (5, 6), (6, 5)])","(8.0, [(0, 3), (1, 5), (2, 6), (3, 0), (4, 4), (5, 1), (6, 2)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 4), (4, 1), (5, 6), (6, 2)])","(12.0, [(0, 3), (1, 0), (2, 2), (3, 1), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 5), (1, 0), (2, 3), (3, 1), (4, 6), (5, 2), (6, 4)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 3), (2, 1), (3, 5), (4, 2), (5, 4), (6, 6)])","(10.0, [(0, 3), (1, 1), (2, 5), (3, 2), (4, 6), (5, 0), (6, 4)])","(8.0, [(0, 4), (1, 0), (2, 6), (3, 2), (4, 1), (5, 5), (6, 3)])","(8.0, [(0, 5), (1, 2), (2, 6), (3, 1), (4, 3), (5, 4), (6, 0)])","(6.0, [(0, 0), (1, 2), (2, 3), (3, 4), (4, 1), (5, 6), (6, 5)])","(inf, [])","(10.0, [(0, 3), (1, 0), (2, 5), (3, 2), (4, 6), (5, 4), (6, 1)])",7
67,67,67,201,Graph with 7 nodes and 12 edges,Graph with 7 nodes and 12 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(8.0, [(0, 5), (1, 0), (2, 2), (3, 1), (4, 4), (5, 6), (6, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(12.0, [(0, 5), (1, 0), (2, 3), (3, 2), (4, 1), (5, 6), (6, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 4), (3, 3), (4, 2), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])",7
68,68,68,204,Graph with 7 nodes and 12 edges,Graph with 7 nodes and 15 edges,3.0,"(11.0, [(0, 4), (1, 2), (2, 0), (3, 6), (4, 1), (5, 3), (6, 5)])","(11.0, [(0, 4), (1, 2), (2, 0), (3, 6), (4, 1), (5, 3), (6, 5)])","(3.0, [(0, 4), (1, 2), (2, 0), (3, 3), (4, 5), (5, 6), (6, 1)])","(11.0, [(0, 4), (1, 2), (2, 0), (3, 6), (4, 1), (5, 3), (6, 5)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 4), (1, 2), (2, 5), (3, 3), (4, 6), (5, 0), (6, 1)])","(5.0, [(0, 4), (1, 3), (2, 1), (3, 2), (4, 0), (5, 6), (6, 5)])","(9.0, [(0, 0), (1, 1), (2, 2), (3, 6), (4, 3), (5, 4), (6, 5)])","(3.0, [(0, 4), (1, 2), (2, 5), (3, 3), (4, 6), (5, 0), (6, 1)])","(11.0, [(0, 4), (1, 2), (2, 0), (3, 6), (4, 1), (5, 3), (6, 5)])","(13.0, [(0, 1), (1, 4), (2, 2), (3, 5), (4, 0), (5, 3), (6, 6)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(11.0, [(0, 4), (1, 1), (2, 2), (3, 3), (4, 5), (5, 6), (6, 0)])","(9.0, [(0, 1), (1, 3), (2, 4), (3, 2), (4, 5), (5, 6), (6, 0)])","(3.0, [(0, 4), (1, 2), (2, 6), (3, 3), (4, 0), (5, 5), (6, 1)])","(5.0, [(0, 1), (1, 2), (2, 0), (3, 3), (4, 6), (5, 5), (6, 4)])","(3.0, [(0, 4), (1, 2), (2, 6), (3, 3), (4, 0), (5, 5), (6, 1)])","(inf, [])","(11.0, [(0, 4), (1, 2), (2, 0), (3, 6), (4, 1), (5, 3), (6, 5)])",7
69,69,69,207,Graph with 7 nodes and 15 edges,Graph with 7 nodes and 5 edges,10.0,"(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 6), (1, 2), (2, 1), (3, 0), (4, 5), (5, 4), (6, 3)])","(14.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])","(10.0, [(0, 4), (1, 2), (2, 0), (3, 1), (4, 3), (5, 6), (6, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(12.0, [(0, 0), (1, 4), (2, 6), (3, 5), (4, 1), (5, 3), (6, 2)])","(12.0, [(0, 1), (1, 5), (2, 0), (3, 2), (4, 3), (5, 4), (6, 6)])","(10.0, [(0, 3), (1, 5), (2, 1), (3, 0), (4, 2), (5, 4), (6, 6)])","(10.0, [(0, 4), (1, 5), (2, 0), (3, 1), (4, 2), (5, 3), (6, 6)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(14.0, [(0, 3), (1, 4), (2, 6), (3, 0), (4, 1), (5, 2), (6, 5)])",7
70,70,70,210,Graph with 7 nodes and 15 edges,Graph with 7 nodes and 6 edges,9.0,"(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(9.0, [(0, 0), (1, 4), (2, 2), (3, 1), (4, 5), (5, 3), (6, 6)])","(9.0, [(0, 1), (1, 4), (2, 5), (3, 2), (4, 3), (5, 6), (6, 0)])","(13.0, [(0, 0), (1, 3), (2, 5), (3, 6), (4, 4), (5, 1), (6, 2)])","(9.0, [(0, 6), (1, 2), (2, 4), (3, 0), (4, 1), (5, 5), (6, 3)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(9.0, [(0, 1), (1, 3), (2, 0), (3, 2), (4, 4), (5, 6), (6, 5)])","(13.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(9.0, [(0, 3), (1, 4), (2, 2), (3, 1), (4, 5), (5, 6), (6, 0)])","(11.0, [(0, 0), (1, 5), (2, 3), (3, 6), (4, 1), (5, 2), (6, 4)])","(9.0, [(0, 1), (1, 5), (2, 3), (3, 0), (4, 6), (5, 2), (6, 4)])","(9.0, [(0, 1), (1, 4), (2, 0), (3, 3), (4, 6), (5, 5), (6, 2)])","(9.0, [(0, 6), (1, 1), (2, 2), (3, 0), (4, 5), (5, 4), (6, 3)])","(inf, [])","(13.0, [(0, 0), (1, 3), (2, 5), (3, 6), (4, 4), (5, 1), (6, 2)])",7
71,71,71,213,Graph with 7 nodes and 15 edges,Graph with 7 nodes and 12 edges,3.0,"(11.0, [(0, 2), (1, 4), (2, 1), (3, 5), (4, 0), (5, 3), (6, 6)])","(11.0, [(0, 2), (1, 4), (2, 1), (3, 5), (4, 0), (5, 3), (6, 6)])","(3.0, [(0, 2), (1, 6), (2, 1), (3, 3), (4, 0), (5, 4), (6, 5)])","(11.0, [(0, 2), (1, 4), (2, 1), (3, 5), (4, 0), (5, 3), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(3.0, [(0, 5), (1, 6), (2, 1), (3, 3), (4, 0), (5, 2), (6, 4)])","(7.0, [(0, 4), (1, 1), (2, 0), (3, 3), (4, 2), (5, 6), (6, 5)])","(11.0, [(0, 0), (1, 2), (2, 4), (3, 5), (4, 6), (5, 1), (6, 3)])","(3.0, [(0, 2), (1, 6), (2, 1), (3, 3), (4, 0), (5, 5), (6, 4)])","(11.0, [(0, 2), (1, 4), (2, 1), (3, 5), (4, 0), (5, 3), (6, 6)])","(11.0, [(0, 2), (1, 4), (2, 5), (3, 6), (4, 1), (5, 0), (6, 3)])","(11.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(7.0, [(0, 0), (1, 1), (2, 3), (3, 6), (4, 2), (5, 4), (6, 5)])","(11.0, [(0, 6), (1, 5), (2, 0), (3, 4), (4, 1), (5, 2), (6, 3)])","(5.0, [(0, 3), (1, 1), (2, 6), (3, 2), (4, 4), (5, 5), (6, 0)])","(7.0, [(0, 0), (1, 4), (2, 3), (3, 6), (4, 1), (5, 2), (6, 5)])","(3.0, [(0, 5), (1, 6), (2, 1), (3, 3), (4, 0), (5, 2), (6, 4)])","(inf, [])","(11.0, [(0, 2), (1, 4), (2, 1), (3, 5), (4, 0), (5, 6), (6, 3)])",7
